Pogodbena cena / Odškodnina,Leto izgradnje dela stavbe,Novogradnja,Dejanska raba dela stavbe,Število sob,Površina dela stavbe,Uporabna površina,Statistična.regija
513172.6,1954,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,27,21.9,Gorenjska
513172.6,1954,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,54,43.7,Gorenjska
513172.6,1954,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,69.1,68.1,Gorenjska
513172.6,1954,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,36,29.2,Gorenjska
55000,1989,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,37,30,Gorenjska
161236.1,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,84.7,78,Podravska
114650.58,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,53.2,48.8,Podravska
93799.16,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,52.6,48.4,Podravska
134350,2013,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,47.5,43.3,Obalno-kraška
114975,2017,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,80.4,59.3,Osrednjeslovenska
237000,2017,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,90.3,70.8,Osrednjeslovenska
180000,2017,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,107.7,89.2,Osrednjeslovenska
275000,2017,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,107.6,90.3,Osrednjeslovenska
300000,2017,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,105.4,89.9,Osrednjeslovenska
304221.99,2018,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,64.2,46.7,Osrednjeslovenska
535000,2018,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,170,109.6,Osrednjeslovenska
421664.73,2018,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,89.3,74.8,Osrednjeslovenska
501647.62,2018,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,183.8,112.3,Osrednjeslovenska
364557.66,2018,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,103,83.3,Osrednjeslovenska
169000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,60.5,52.2,Osrednjeslovenska
227000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,125.5,67.4,Osrednjeslovenska
182900,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,124.2,43.9,Osrednjeslovenska
157000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,59.4,51.1,Osrednjeslovenska
205000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,74.4,67.4,Osrednjeslovenska
265000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,152.9,76.2,Osrednjeslovenska
160000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,54.8,43.9,Osrednjeslovenska
244700,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,140.8,66.3,Osrednjeslovenska
236000,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,100.2,79.9,Osrednjeslovenska
94341.09,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,63.7,56.9,Podravska
91952.63,2019,1,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,63.5,57.3,Podravska
80000,1981,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,74.8,74.8,Osrednjeslovenska
18405.99,1995,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,102,77.5,Podravska
10000,1860,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,0,27,21.6,Jugovzhodna Slovenija
3500,1928,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,151.3,75.7,Obalno-kraška
80000,1965,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,83.8,63.1,Savinjska
9500,1890,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,42.6,33.6,Goriška
37500,1978,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,39.9,32.6,Podravska
290000,2005,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,73.4,61,Obalno-kraška
30000,1940,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,62.6,53.4,Jugovzhodna Slovenija
107000,1977,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,51,44.5,Osrednjeslovenska
21000,1965,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,13.1,13.1,Osrednjeslovenska
