Pogodbena cena / Odškodnina,Leto izgradnje dela stavbe,Novogradnja,Dejanska raba dela stavbe,Število sob,Površina dela stavbe,Uporabna površina,Statistična.regija
49000,2012,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,63.1,51.3,Savinjska
11000,1981,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.1,16.7,Savinjska
135000,1992,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,52.3,44.8,Obalno-kraška
30000,1963,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,66.2,54,Koroška
80000,1988,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,60.2,54.7,Podravska
188500,2012,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,NA,217.3,128.3,Osrednjeslovenska
360000,2001,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,5,145.8,126.4,Osrednjeslovenska
105000,1850,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,146,44.5,Osrednjeslovenska
73000,1964,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,33.3,30.3,Osrednjeslovenska
180000,1989,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,264,106,Savinjska
7000,1960,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,35.2,28,Savinjska
13000,1945,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,123.1,65.7,Jugovzhodna Slovenija
108000,1974,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,112.4,50.5,Osrednjeslovenska
28000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,27.7,25.2,Savinjska
22500,1974,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,42.3,35.4,Primorsko-notranjska
53000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,56,45,Savinjska
43000,1977,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,34.4,26.1,Savinjska
19738.66,1978,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,0,172.8,86,Osrednjeslovenska
81000,1980,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,74.1,67.6,Koroška
30000,1850,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,29.6,24,Savinjska
30000,1895,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,35.8,35.8,Savinjska
15330.88,1972,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,76.4,74.8,Osrednjeslovenska
60000,1959,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,51.1,38.6,Gorenjska
157973,1996,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,150,134.5,Savinjska
300000,1988,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,131.5,114,Osrednjeslovenska
130000,1961,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,58.5,55.4,Osrednjeslovenska
261000,1923,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,165.2,104.9,Osrednjeslovenska
55000,1898,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,37.5,35.3,Obalno-kraška
27117,1980,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,256,181,Osrednjeslovenska
57750,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,49.8,47.8,Podravska
55717.29,1982,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,269.1,123.5,Osrednjeslovenska
4000,2003,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,103.9,86.3,Jugovzhodna Slovenija
155000,2008,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,44.1,41.3,Osrednjeslovenska
48700,1927,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,52.4,44.4,Podravska
68000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,53.7,47.5,Podravska
125000,1986,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,163.1,92.5,Podravska
66000,1972,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,110,69.3,Podravska
25000,1968,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,29.1,27.1,Pomurska
122000,1978,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,263.2,179,Osrednjeslovenska
85000,1961,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,75.9,70,Gorenjska
198000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,65.9,57.5,Obalno-kraška
70000,1964,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,54.6,51.7,Savinjska
98000,2006,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,101.4,63.1,Posavska
148000,1986,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,82.9,68.5,Gorenjska
18000,1925,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,49,41,Podravska
16000,1947,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,0,109.1,109.1,Savinjska
100000,1977,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,66,66,Osrednjeslovenska
52000,1983,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,59.1,53,Savinjska
1230000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,54.9,42.3,Podravska
1230000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,25.5,24,Podravska
1230000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,59.8,45.9,Podravska
1230000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,46.2,44.4,Podravska
1230000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,36.3,23,Podravska
1230000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,26.1,24.2,Podravska
32000,1979,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,38.8,35.1,Pomurska
58000,1962,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,31.7,26.7,Jugovzhodna Slovenija
80000,1700,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,86.7,65.5,Savinjska
82500,1967,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,139.4,63.8,Savinjska
175000,1939,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,116.1,81.2,Osrednjeslovenska
20000,2000,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,312.9,178.6,Savinjska
16000,1980,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,225,148.1,Osrednjeslovenska
30000,1968,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,103.1,54.3,Savinjska
900000,1990,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,238.5,180.6,Obalno-kraška
170000,1840,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,79.3,77.9,Osrednjeslovenska
130000,1995,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,50.9,41.2,Obalno-kraška
50000,1961,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,43.5,40.5,Podravska
37000,1900,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,36.4,31.3,Podravska
71500,1963,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,56.1,45.4,Podravska
180000,1982,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,75.5,71.1,Osrednjeslovenska
100000,1973,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,51.4,48,Osrednjeslovenska
52000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,26,24,Obalno-kraška
83000,1961,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,25.2,23,Osrednjeslovenska
45000,1974,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,50.1,50.1,Savinjska
122000,2009,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,72.8,63.4,Osrednjeslovenska
78000,1981,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,43.6,35,Obalno-kraška
62000,1974,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,60.9,56.1,Podravska
35000,1906,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,53.1,53.1,Osrednjeslovenska
58000,1972,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,177.6,98.6,Podravska
150000,1977,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,62.7,54.8,Osrednjeslovenska
150000,1988,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,70.3,63,Osrednjeslovenska
132000,1973,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,59.6,51.5,Osrednjeslovenska
32000,1976,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,61.4,56.1,Osrednjeslovenska
85680,1968,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,34.9,30.5,Osrednjeslovenska
166000,1975,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,72.5,65.4,Osrednjeslovenska
164000,1958,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,62.2,62.2,Osrednjeslovenska
98000,1950,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,110.4,51,Podravska
30000,1900,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,42.7,42.7,Jugovzhodna Slovenija
50000,1928,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,281.9,117.1,Posavska
300000,1990,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,0,660.6,528.5,Posavska
300000,1750,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,127.3,92.7,Posavska
110000,2004,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,40.6,31.4,Osrednjeslovenska
100000,1826,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,49.5,45.1,Osrednjeslovenska
50000,1968,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,37.6,33.6,Podravska
153000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,74,70,Osrednjeslovenska
135000,2004,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,59.3,48.4,Osrednjeslovenska
55500,1981,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,44.6,37.1,Podravska
280000,2008,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,180.7,102.4,Podravska
48000,1948,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,83.4,64,Podravska
75000,1950,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,75.7,61.3,Podravska
147000,1960,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,55.4,51.8,Osrednjeslovenska
65000,1961,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,43.7,36.5,Gorenjska
63900,2009,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,142.3,62.3,Pomurska
235000,1882,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,79.1,79.1,Osrednjeslovenska
90000,1974,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,34.6,34.6,Osrednjeslovenska
186000,1940,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,89,79.2,Osrednjeslovenska
278000,2000,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,5,229,192.2,Osrednjeslovenska
359800,2001,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,91.7,78.4,Osrednjeslovenska
300000,1998,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,109.2,89.3,Osrednjeslovenska
75000,1990,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,62,55.8,Posavska
32000,1850,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,336.3,162,Osrednjeslovenska
40000,1976,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,74,67.1,Gorenjska
165000,1956,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,106,86.8,Osrednjeslovenska
94000,1986,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,28.1,24.6,Osrednjeslovenska
32000,1976,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,63.4,54.8,Pomurska
120000,1856,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,45,34.7,Osrednjeslovenska
140000,2004,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,55.3,51.3,Osrednjeslovenska
2780,1965,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,73.9,66.7,Podravska
70000,1954,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,156.6,136.6,Osrednjeslovenska
92000,2003,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,60.3,49.9,Podravska
40000,1948,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,62.3,44.3,Podravska
68000,2007,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,51,38.1,Podravska
70000,2009,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,55.7,47.3,Podravska
17000,1964,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,70.9,58.3,Primorsko-notranjska
149500,1977,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,203.8,132.5,Savinjska
30000,2014,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,5,127.9,108.2,Savinjska
99000,1984,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,80.1,72.6,Savinjska
190000,2012,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,97.9,84.7,Osrednjeslovenska
90000,1873,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,5,142,124.5,Goriška
50000,1961,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,29.4,24.4,Savinjska
138000,1981,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,53.3,48.7,Osrednjeslovenska
175000,2004,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,70.6,63.2,Osrednjeslovenska
345000,1972,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,7,294.5,194.6,Osrednjeslovenska
79000,1980,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,72.4,62.4,Savinjska
360000,2001,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,102,86.5,Osrednjeslovenska
124000,1900,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,62.7,59.8,Obalno-kraška
75000,1987,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,67.3,56,Savinjska
157000,1989,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,77.2,77.2,Obalno-kraška
230000,1896,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,130.4,94.8,Osrednjeslovenska
47500,1946,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,109.7,83,Goriška
40000,1985,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,97.7,66.4,Savinjska
180000,2009,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,57.8,49.3,Osrednjeslovenska
101500,2007,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,70.5,62.3,Savinjska
485000,1930,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,144.1,102.4,Osrednjeslovenska
112000,1995,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,125.3,49.2,Podravska
92500,1990,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,77.3,69.1,Podravska
72000,2009,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,62.1,54,Podravska
80000,1983,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,60.7,54.3,Podravska
80000,1975,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,90,72,Gorenjska
175000,1976,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,56.3,49.7,Osrednjeslovenska
75000,2007,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,50.1,49.8,Gorenjska
142000,1975,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,62.1,53.9,Osrednjeslovenska
5000,1976,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,343,176,Osrednjeslovenska
35000,1957,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,61.6,57.8,Osrednjeslovenska
18000,1990,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,0,19.8,15.8,Posavska
25000,1901,NA,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,2,59.2,41.2,Gorenjska
90000,1965,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,74.1,61.4,Osrednjeslovenska
42000,1460,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,42.8,42.8,Savinjska
59610,1806,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,44.6,44.6,Obalno-kraška
55000,1806,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,92.8,92.8,Obalno-kraška
500000,1900,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,259.5,163,Obalno-kraška
40000,1975,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,241.5,89.9,Podravska
159000,1969,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,126.7,61,Osrednjeslovenska
105000,2000,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,61.5,42.5,Osrednjeslovenska
250000,2007,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,196.8,86,Osrednjeslovenska
3517983,1936,NA,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,5,302.9,132.5,Obalno-kraška
50000,1880,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,99,99,Osrednjeslovenska
50000,1880,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,5,183.6,97.4,Osrednjeslovenska
52570,2007,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,115.2,64.9,Goriška
95000,1900,NA,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",2,160.3,77.2,Goriška
58000,1963,NA,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,46.3,42.7,Savinjska
