Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBÈINE;MERITVE;2010 Stanovanja - SKUPAJ;2010 Enosobna;2010 Dvosobna;2010 Trisobna;2010 Štirisobna;2010 Pet- in veèsobna;2011 Stanovanja - SKUPAJ;2011 Enosobna;2011 Dvosobna;2011 Trisobna;2011 Štirisobna;2011 Pet- in veèsobna;2012 Stanovanja - SKUPAJ;2012 Enosobna;2012 Dvosobna;2012 Trisobna;2012 Štirisobna;2012 Pet- in veèsobna;2013 Stanovanja - SKUPAJ;2013 Enosobna;2013 Dvosobna;2013 Trisobna;2013 Štirisobna;2013 Pet- in veèsobna;2014 Stanovanja - SKUPAJ;2014 Enosobna;2014 Dvosobna;2014 Trisobna;2014 Štirisobna;2014 Pet- in veèsobna;2015 Stanovanja - SKUPAJ;2015 Enosobna;2015 Dvosobna;2015 Trisobna;2015 Štirisobna;2015 Pet- in veèsobna;2016 Stanovanja - SKUPAJ;2016 Enosobna;2016 Dvosobna;2016 Trisobna;2016 Štirisobna;2016 Pet- in veèsobna;2017 Stanovanja - SKUPAJ;2017 Enosobna;2017 Dvosobna;2017 Trisobna;2017 Štirisobna;2017 Pet- in veèsobna;2018 Stanovanja - SKUPAJ;2018 Enosobna;2018 Dvosobna;2018 Trisobna;2018 Štirisobna;2018 Pet- in veèsobna;2019 Stanovanja - SKUPAJ;2019 Enosobna;2019 Dvosobna;2019 Trisobna;2019 Štirisobna;2019 Pet- in veèsobna;2020 Stanovanja - SKUPAJ;2020 Enosobna;2020 Dvosobna;2020 Trisobna;2020 Štirisobna;2020 Pet- in veèsobna
Bled;Število;24;0;2;0;11;11;5;0;2;1;0;2;9;0;0;4;0;5;12;0;0;4;5;3;10;0;0;1;2;7;17;1;1;4;3;8;17;0;0;2;6;9;95;26;48;14;2;5;6;0;0;1;1;4;17;0;1;6;3;7;71;60;0;1;5;5
Bled;Površina [m2];3556;0;127;0;1543;1886;701;0;94;103;0;504;1539;0;0;556;0;983;1671;0;0;379;814;478;1819;0;0;182;353;1284;3191;70;149;585;607;1780;3613;0;0;252;1193;2168;8474;2135;3795;1243;166;1135;1491;0;0;171;189;1131;2792;0;74;575;408;1735;6405;4185;0;143;1096;981
Bloke;Število;7;0;2;1;1;3;6;0;0;1;1;4;8;1;0;1;3;3;6;0;0;1;3;2;1;0;0;0;1;0;2;0;0;0;1;1;3;0;0;1;2;0;2;0;1;0;1;0;0;0;0;0;0;0;3;0;0;1;0;2;1;0;0;1;0;0
Bloke;Površina [m2];1186;0;150;272;129;635;865;0;0;125;129;611;1262;28;0;90;443;701;934;0;0;53;446;435;71;0;0;0;71;0;356;0;0;0;240;116;541;0;0;99;442;0;177;0;53;0;124;0;0;0;0;0;0;0;428;0;0;160;0;268;128;0;0;128;0;0
Bohinj;Število;28;0;12;6;1;9;30;1;4;16;5;4;7;0;0;0;4;3;10;0;2;4;2;2;14;1;4;5;2;2;4;0;0;1;2;1;14;2;1;4;1;6;24;4;3;9;3;5;9;0;1;4;2;2;9;0;0;1;5;3;10;0;0;4;4;2
Bohinj;Površina [m2];3303;0;1072;480;155;1596;2450;25;222;1102;524;577;679;0;0;0;464;215;1018;0;141;339;206;332;1311;42;146;454;351;318;457;0;0;53;284;120;1406;63;47;302;113;881;2605;144;124;788;812;737;1225;0;45;336;345;499;1144;0;0;64;772;308;2202;0;0;843;928;431
Borovnica;Število;206;45;24;14;116;7;7;0;1;0;2;4;10;0;1;0;1;8;2;1;0;0;0;1;11;0;0;0;0;11;8;0;1;0;0;7;9;1;0;2;2;4;8;1;0;0;1;6;1;0;0;1;0;0;4;0;0;0;0;4;7;0;0;2;2;3
Borovnica;Površina [m2];16530;1474;1264;1013;11426;1353;1407;0;65;0;331;1011;1845;0;235;0;82;1528;486;231;0;0;0;255;2244;0;0;0;0;2244;1526;0;98;0;0;1428;1318;48;0;185;235;850;1123;49;0;0;126;948;66;0;0;66;0;0;949;0;0;0;0;949;830;0;0;164;179;487
Bovec;Število;29;5;8;9;5;2;4;0;1;0;2;1;7;0;4;0;0;3;8;0;0;1;4;3;5;0;0;2;1;2;3;0;1;0;0;2;17;1;1;7;6;2;2;0;1;1;0;0;5;0;1;1;1;2;2;0;0;0;1;1;7;0;1;3;1;2
Bovec;Površina [m2];2311;257;384;677;770;223;530;0;92;0;281;157;859;0;196;0;0;663;1089;0;0;80;572;437;777;0;0;259;99;419;360;0;130;0;0;230;1585;27;50;545;658;305;140;0;55;85;0;0;758;0;60;85;199;414;406;0;0;0;154;252;857;0;149;286;92;330
