statisticna_regija,leto,stevilo_stanovanj,stevilo_prebivalcev,povrsina_stanovanj,povrsina_ocena_dokoncanih,stevilo_ocena_dokoncanih
Goriška,2015,197,118188,49903,27597,184
Goriška,2016,140,118064,38624,33826,223
Goriška,2017,129,117747,36442,29834,177
Goriška,2018,177,117260,46189,26811,191
Goriška,2019,168,117616,42649,22048,142
Goriška,2020,222,118041,42856,22215,139
Obalno-kraška,2010,324,110412,65096,47971,377
Obalno-kraška,2011,387,110760,60583,41475,373
Obalno-kraška,2012,141,111423,26663,46711,555
Obalno-kraška,2013,105,111936,25739,27829,191
Obalno-kraška,2014,109,112848,24887,21623,139
Obalno-kraška,2015,204,112773,41802,20372,145
Obalno-kraška,2016,129,113070,27181,28096,225
Obalno-kraška,2017,138,113517,30620,15550,111
Obalno-kraška,2018,165,113961,41234,23321,161
Obalno-kraška,2019,116,115016,27121,21885,173
Obalno-kraška,2020,106,115913,25255,22851,139
