Pogodbena cena / Odškodnina,Leto izgradnje dela stavbe,Novogradnja,Dejanska raba dela stavbe,Število sob,Površina dela stavbe,Uporabna površina,Statistična.regija
300000,1983,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,5,447.8,120.8,Gorenjska
177000,1988,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,3,75,70.1,Osrednjeslovenska
77000,1975,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,48,37.9,Gorenjska
88000,1971,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,1,35.9,30.1,Osrednjeslovenska
80000,1970,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,39.3,30.3,Osrednjeslovenska
7000,1976,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,25.3,20.6,Koroška
23000,1980,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,1,54.1,48.8,Podravska
42000,1926,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,1,39.5,34.8,Podravska
17000,1992,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,1,20.2,20.2,Podravska
65000,1985,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,31.1,22.9,Gorenjska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,42.1,41.2,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,51.8,47.2,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,58.4,48.4,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,48.5,48.5,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,37.6,31.8,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,49.6,46.7,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,52.6,47.3,Osrednjeslovenska
97000,1897,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,59.8,53.8,Osrednjeslovenska
95000,1826,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,2,60.7,57.5,Osrednjeslovenska
247000,2002,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,350.5,105.2,Osrednjeslovenska
145000,1991,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,2,59.3,50.8,Osrednjeslovenska
108000,1750,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,50.5,40.5,Osrednjeslovenska
108000,1750,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,50.1,29.1,Osrednjeslovenska
108000,1750,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,11.3,9.3,Osrednjeslovenska
108000,1750,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,59.7,55.2,Osrednjeslovenska
253000,1930,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,57.9,55.8,Osrednjeslovenska
253000,1930,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,100.8,77,Osrednjeslovenska
160000,1870,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,44.8,42,Osrednjeslovenska
160000,1870,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,108,91.7,Osrednjeslovenska
160000,1870,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,105.8,68.3,Osrednjeslovenska
160000,1870,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,91.6,56.6,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,80.8,76.8,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,81.4,68,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,81.8,69.9,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,82.3,72,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,82.7,73.1,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,81.9,71.6,Osrednjeslovenska
185000,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,81.8,74,Osrednjeslovenska
30000,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,82.1,77.3,Osrednjeslovenska
30000,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,72,57.9,Osrednjeslovenska
30000,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,31.7,21.2,Osrednjeslovenska
220000,2001,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,3,102.8,83.3,Obalno-kraška
210,1920,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,50.2,50.2,Gorenjska
210,1920,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,50.2,50.2,Gorenjska
210,1920,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,50.2,50.2,Gorenjska
124700,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,49,48,Osrednjeslovenska
124700,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,28,22.7,Osrednjeslovenska
124700,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,93.5,91,Osrednjeslovenska
124700,1900,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,29.8,29.8,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,72.8,63.4,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,73,59.1,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,72.5,63.4,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,73,62.4,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,72.5,63.4,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,73,62,Osrednjeslovenska
182475,1958,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,72.5,63.4,Osrednjeslovenska
23000,1969,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,62.9,52.3,Osrednjeslovenska
23000,1969,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,67.2,60.9,Osrednjeslovenska
23000,1969,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,58.6,58.6,Osrednjeslovenska
72000,1956,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,53,53,Osrednjeslovenska
72000,1956,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,71.3,59.8,Osrednjeslovenska
72000,1956,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,77.8,44.3,Osrednjeslovenska
31450,1975,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,46.1,37.3,Podravska
31450,1975,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,57.3,46.4,Podravska
31450,1975,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,58.7,53.5,Podravska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,88.4,55,Osrednjeslovenska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,77.2,61.5,Osrednjeslovenska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,86.9,78.5,Osrednjeslovenska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,32.9,32.9,Osrednjeslovenska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,91.2,63,Osrednjeslovenska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,71.6,57.1,Osrednjeslovenska
83000,1877,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,72.8,41.9,Osrednjeslovenska
180000,2004,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,55.4,49.3,Osrednjeslovenska
30000,1934,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,98,56,Obalno-kraška
63000,2005,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,61.4,42.5,Savinjska
250000,1910,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,225.5,166.3,Osrednjeslovenska
55000,1982,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,1,46.1,39.2,Savinjska
160000,1974,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,4,77.5,62.8,Obalno-kraška
157000,1980,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,3,74.5,66.8,Obalno-kraška
90000,1956,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,147.8,72.7,Savinjska
43000,1974,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,38.8,30.2,Podravska
97700,1978,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,1,44.2,36.8,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,17.8,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
