statisticna_regija,leto,stevilo_stanovanj,povrsina_stanovanj,povrsina_ocena_dokoncanih,stevilo_ocena_dokoncanih,Priseljeni,Odseljeni
Goriška,2018,177,46189,26811,191,2106,2426
Goriška,2019,168,42649,22048,142,2128,2328
Goriška,2020,222,42856,22215,139,3236,3250
Obalno-kraška,2010,324,65096,47971,377,3300,3219
Obalno-kraška,2011,387,60583,41475,373,3458,3252
Obalno-kraška,2012,141,26663,46711,555,3116,3251
Obalno-kraška,2013,105,25739,27829,191,3940,3290
Obalno-kraška,2014,109,24887,21623,139,3405,3657
Obalno-kraška,2015,204,41802,20372,145,3287,3270
Obalno-kraška,2016,129,27181,28096,225,3302,3227
Obalno-kraška,2017,138,30620,15550,111,3469,3296
Obalno-kraška,2018,165,41234,23321,161,3089,2825
Obalno-kraška,2019,116,27121,21885,173,2855,2737
Obalno-kraška,2020,106,25255,22851,139,5365,4206
