Stanovanjske nepremičnine,leto,povprecje_cetrtletij_glede_na_2015
"Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor)",2015,1000
"Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor)",2016,1044.3
"Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor)",2017,1113.1
"Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor)",2018,1236.2
"Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor)",2019,1382.9
"Rabljena stanovanja, preostala Slovenija (brez mestnih obcin Ljubljana in Maribor)",2020,1463.5
Rabljene družinske hiše,2010,1219.3
Rabljene družinske hiše,2011,1215.7
Rabljene družinske hiše,2012,1165.3
Rabljene družinske hiše,2013,1090
Rabljene družinske hiše,2014,1045
Rabljene družinske hiše,2015,1000
Rabljene družinske hiše,2016,1030.3
Rabljene družinske hiše,2017,1081.7
Rabljene družinske hiše,2018,1125
Rabljene družinske hiše,2019,1229.2
Rabljene družinske hiše,2020,1274
