STATISTIČNA REGIJA,LETO,Stopnja,Delež ljudi
Koroška,2017,Zelo lahko,0
Koroška,2018,Zelo težko,10
Koroška,2018,Težko,32
Koroška,2018,Z manjšimi težavami,30
Koroška,2018,Dokaj lahko,18
Koroška,2018,Lahko,8
Koroška,2018,Zelo lahko,2
Koroška,2019,Zelo težko,8
Koroška,2019,Težko,20
Koroška,2019,Z manjšimi težavami,36
Koroška,2019,Dokaj lahko,24
Koroška,2019,Lahko,10
Koroška,2019,Zelo lahko,1
Koroška,2020,Zelo težko,12
Koroška,2020,Težko,20
Koroška,2020,Z manjšimi težavami,39
Koroška,2020,Dokaj lahko,18
Koroška,2020,Lahko,10
Koroška,2020,Zelo lahko,1
Savinjska,2010,Zelo težko,12
Savinjska,2010,Težko,24
Savinjska,2010,Z manjšimi težavami,39
Savinjska,2010,Dokaj lahko,17
Savinjska,2010,Lahko,7
Savinjska,2010,Zelo lahko,1
Savinjska,2011,Zelo težko,12
Savinjska,2011,Težko,22
Savinjska,2011,Z manjšimi težavami,41
Savinjska,2011,Dokaj lahko,16
Savinjska,2011,Lahko,8
Savinjska,2011,Zelo lahko,1
Savinjska,2012,Zelo težko,9
Savinjska,2012,Težko,23
Savinjska,2012,Z manjšimi težavami,38
Savinjska,2012,Dokaj lahko,19
Savinjska,2012,Lahko,11
Savinjska,2012,Zelo lahko,0
Savinjska,2013,Zelo težko,11
Savinjska,2013,Težko,27
Savinjska,2013,Z manjšimi težavami,38
Savinjska,2013,Dokaj lahko,15
Savinjska,2013,Lahko,7
Savinjska,2013,Zelo lahko,1
Savinjska,2014,Zelo težko,12
Savinjska,2014,Težko,24
Savinjska,2014,Z manjšimi težavami,40
Savinjska,2014,Dokaj lahko,17
Savinjska,2014,Lahko,8
Savinjska,2014,Zelo lahko,1
Savinjska,2015,Zelo težko,8
Savinjska,2015,Težko,26
Savinjska,2015,Z manjšimi težavami,37
Savinjska,2015,Dokaj lahko,18
Savinjska,2015,Lahko,10
Savinjska,2015,Zelo lahko,1
Savinjska,2016,Zelo težko,9
Savinjska,2016,Težko,24
Savinjska,2016,Z manjšimi težavami,36
Savinjska,2016,Dokaj lahko,20
Savinjska,2016,Lahko,9
Savinjska,2016,Zelo lahko,1
Savinjska,2017,Zelo težko,10
Savinjska,2017,Težko,21
Savinjska,2017,Z manjšimi težavami,39
Savinjska,2017,Dokaj lahko,16
Savinjska,2017,Lahko,12
Savinjska,2017,Zelo lahko,1
Savinjska,2018,Zelo težko,10
Savinjska,2018,Težko,18
Savinjska,2018,Z manjšimi težavami,37
Savinjska,2018,Dokaj lahko,21
Savinjska,2018,Lahko,12
Savinjska,2018,Zelo lahko,2
Savinjska,2019,Zelo težko,7
Savinjska,2019,Težko,18
Savinjska,2019,Z manjšimi težavami,37
Savinjska,2019,Dokaj lahko,23
Savinjska,2019,Lahko,13
Savinjska,2019,Zelo lahko,2
Savinjska,2020,Zelo težko,7
Savinjska,2020,Težko,17
Savinjska,2020,Z manjšimi težavami,35
Savinjska,2020,Dokaj lahko,25
Savinjska,2020,Lahko,15
Savinjska,2020,Zelo lahko,2
Zasavska,2010,Zelo težko,10
Zasavska,2010,Težko,15
Zasavska,2010,Z manjšimi težavami,38
Zasavska,2010,Dokaj lahko,24
Zasavska,2010,Lahko,12
Zasavska,2010,Zelo lahko,1
Zasavska,2011,Zelo težko,11
Zasavska,2011,Težko,22
Zasavska,2011,Z manjšimi težavami,40
Zasavska,2011,Dokaj lahko,18
Zasavska,2011,Lahko,10
Zasavska,2011,Zelo lahko,0
Zasavska,2012,Zelo težko,13
Zasavska,2012,Težko,17
Zasavska,2012,Z manjšimi težavami,39
Zasavska,2012,Dokaj lahko,20
Zasavska,2012,Lahko,11
Zasavska,2012,Zelo lahko,0
Zasavska,2013,Zelo težko,13
Zasavska,2013,Težko,24
Zasavska,2013,Z manjšimi težavami,38
Zasavska,2013,Dokaj lahko,18
Zasavska,2013,Lahko,5
Zasavska,2013,Zelo lahko,1
Zasavska,2014,Zelo težko,13
Zasavska,2014,Težko,26
Zasavska,2014,Z manjšimi težavami,33
Zasavska,2014,Dokaj lahko,19
Zasavska,2014,Lahko,8
Zasavska,2014,Zelo lahko,2
Zasavska,2015,Zelo težko,13
Zasavska,2015,Težko,23
Zasavska,2015,Z manjšimi težavami,34
Zasavska,2015,Dokaj lahko,20
Zasavska,2015,Lahko,8
Zasavska,2015,Zelo lahko,2
Zasavska,2016,Zelo težko,8
Zasavska,2016,Težko,26
Zasavska,2016,Z manjšimi težavami,33
Zasavska,2016,Dokaj lahko,21
Zasavska,2016,Lahko,11
Zasavska,2016,Zelo lahko,1
Zasavska,2017,Zelo težko,15
Zasavska,2017,Težko,20
Zasavska,2017,Z manjšimi težavami,26
Zasavska,2017,Dokaj lahko,23
Zasavska,2017,Lahko,15
Zasavska,2017,Zelo lahko,1
Zasavska,2018,Zelo težko,6
Zasavska,2018,Težko,23
Zasavska,2018,Z manjšimi težavami,31
Zasavska,2018,Dokaj lahko,27
Zasavska,2018,Lahko,9
Zasavska,2018,Zelo lahko,3
Zasavska,2019,Zelo težko,5
Zasavska,2019,Težko,20
Zasavska,2019,Z manjšimi težavami,31
Zasavska,2019,Dokaj lahko,27
Zasavska,2019,Lahko,14
Zasavska,2019,Zelo lahko,3
Zasavska,2020,Zelo težko,11
Zasavska,2020,Težko,14
Zasavska,2020,Z manjšimi težavami,32
Zasavska,2020,Dokaj lahko,26
Zasavska,2020,Lahko,15
Zasavska,2020,Zelo lahko,2
Posavska,2010,Zelo težko,6
Posavska,2010,Težko,28
Posavska,2010,Z manjšimi težavami,33
Posavska,2010,Dokaj lahko,21
Posavska,2010,Lahko,12
Posavska,2010,Zelo lahko,1
Posavska,2011,Zelo težko,9
Posavska,2011,Težko,19
Posavska,2011,Z manjšimi težavami,42
Posavska,2011,Dokaj lahko,17
Posavska,2011,Lahko,11
Posavska,2011,Zelo lahko,2
Posavska,2012,Zelo težko,13
Posavska,2012,Težko,26
Posavska,2012,Z manjšimi težavami,34
Posavska,2012,Dokaj lahko,18
Posavska,2012,Lahko,8
Posavska,2012,Zelo lahko,1
Posavska,2013,Zelo težko,23
Posavska,2013,Težko,35
Posavska,2013,Z manjšimi težavami,28
Posavska,2013,Dokaj lahko,11
Posavska,2013,Lahko,4
Posavska,2013,Zelo lahko,1
Posavska,2014,Zelo težko,13
Posavska,2014,Težko,39
Posavska,2014,Z manjšimi težavami,28
Posavska,2014,Dokaj lahko,14
Posavska,2014,Lahko,6
