STATISTIČNA REGIJA,LETO,Stopnja,Delež ljudi
Goriška,2016,Zelo lahko,1
Goriška,2017,Zelo težko,5
Goriška,2017,Težko,15
Goriška,2017,Z manjšimi težavami,38
Goriška,2017,Dokaj lahko,28
Goriška,2017,Lahko,12
Goriška,2017,Zelo lahko,1
Goriška,2018,Zelo težko,7
Goriška,2018,Težko,14
Goriška,2018,Z manjšimi težavami,39
Goriška,2018,Dokaj lahko,25
Goriška,2018,Lahko,14
Goriška,2018,Zelo lahko,2
Goriška,2019,Zelo težko,2
Goriška,2019,Težko,13
Goriška,2019,Z manjšimi težavami,37
Goriška,2019,Dokaj lahko,34
Goriška,2019,Lahko,12
Goriška,2019,Zelo lahko,2
Goriška,2020,Zelo težko,2
Goriška,2020,Težko,10
Goriška,2020,Z manjšimi težavami,30
Goriška,2020,Dokaj lahko,35
Goriška,2020,Lahko,20
Goriška,2020,Zelo lahko,3
Obalno-kraška,2010,Zelo težko,8
Obalno-kraška,2010,Težko,16
Obalno-kraška,2010,Z manjšimi težavami,40
Obalno-kraška,2010,Dokaj lahko,25
Obalno-kraška,2010,Lahko,10
Obalno-kraška,2010,Zelo lahko,0
Obalno-kraška,2011,Zelo težko,7
Obalno-kraška,2011,Težko,21
Obalno-kraška,2011,Z manjšimi težavami,41
Obalno-kraška,2011,Dokaj lahko,21
Obalno-kraška,2011,Lahko,9
Obalno-kraška,2011,Zelo lahko,1
Obalno-kraška,2012,Zelo težko,13
Obalno-kraška,2012,Težko,16
Obalno-kraška,2012,Z manjšimi težavami,36
Obalno-kraška,2012,Dokaj lahko,23
Obalno-kraška,2012,Lahko,10
Obalno-kraška,2012,Zelo lahko,1
Obalno-kraška,2013,Zelo težko,12
Obalno-kraška,2013,Težko,18
Obalno-kraška,2013,Z manjšimi težavami,45
Obalno-kraška,2013,Dokaj lahko,18
Obalno-kraška,2013,Lahko,7
Obalno-kraška,2013,Zelo lahko,0
Obalno-kraška,2014,Zelo težko,10
Obalno-kraška,2014,Težko,23
Obalno-kraška,2014,Z manjšimi težavami,32
Obalno-kraška,2014,Dokaj lahko,24
Obalno-kraška,2014,Lahko,10
Obalno-kraška,2014,Zelo lahko,1
Obalno-kraška,2015,Zelo težko,12
Obalno-kraška,2015,Težko,16
Obalno-kraška,2015,Z manjšimi težavami,35
Obalno-kraška,2015,Dokaj lahko,23
Obalno-kraška,2015,Lahko,12
Obalno-kraška,2015,Zelo lahko,2
Obalno-kraška,2016,Zelo težko,6
Obalno-kraška,2016,Težko,19
Obalno-kraška,2016,Z manjšimi težavami,35
Obalno-kraška,2016,Dokaj lahko,28
Obalno-kraška,2016,Lahko,10
Obalno-kraška,2016,Zelo lahko,2
Obalno-kraška,2017,Zelo težko,7
Obalno-kraška,2017,Težko,19
Obalno-kraška,2017,Z manjšimi težavami,35
Obalno-kraška,2017,Dokaj lahko,28
Obalno-kraška,2017,Lahko,10
Obalno-kraška,2017,Zelo lahko,1
Obalno-kraška,2018,Zelo težko,5
Obalno-kraška,2018,Težko,16
Obalno-kraška,2018,Z manjšimi težavami,30
Obalno-kraška,2018,Dokaj lahko,31
Obalno-kraška,2018,Lahko,15
Obalno-kraška,2018,Zelo lahko,2
Obalno-kraška,2019,Zelo težko,6
Obalno-kraška,2019,Težko,9
Obalno-kraška,2019,Z manjšimi težavami,33
Obalno-kraška,2019,Dokaj lahko,34
Obalno-kraška,2019,Lahko,16
Obalno-kraška,2019,Zelo lahko,3
Obalno-kraška,2020,Zelo težko,5
Obalno-kraška,2020,Težko,15
Obalno-kraška,2020,Z manjšimi težavami,29
Obalno-kraška,2020,Dokaj lahko,24
Obalno-kraška,2020,Lahko,24
Obalno-kraška,2020,Zelo lahko,3
